id_sucursal,mostraba_opiniones,overral_stars,number_opinions,tiempo_delivery,tipo_envio,dollar_mean_price
370,0,0.0,0,30 - 45 min,Gratis(nuevos usuarios),8.53
371,1,3.9,53,35 - 50 min,Gratis(nuevos usuarios),8.17
372,1,4.1,33,35 - 50 min,Gratis(nuevos usuarios),7.93
373,1,4.4,48,44 - 59 min,Gratis(nuevos usuarios),8.53
374,1,4.2,75,35 - 50 min,Gratis(nuevos usuarios),8.07
375,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),8.13
376,1,4.2,63,35 - 50 min,Gratis(nuevos usuarios),7.98
377,1,4.5,202,35 - 50 min,Gratis(nuevos usuarios),7.48
378,1,4.5,144,35 - 50 min,Gratis(nuevos usuarios),8.7
379,1,4.6,291,35 - 50 min,Gratis(nuevos usuarios),5.16
380,1,4.7,350,35 - 50 min,Gratis(nuevos usuarios),5.25
381,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),4.13
382,1,4.6,24,35 - 50 min,Gratis(nuevos usuarios),5.26
383,1,4.5,39,35 - 50 min,Gratis(nuevos usuarios),5.42
384,1,4.4,20,35 - 50 min,Gratis(nuevos usuarios),5.32
385,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),14.49
386,1,4.5,33,35 - 50 min,Gratis(nuevos usuarios),4.49
387,0,0.0,0,35 - 50 min,Gratis(nuevos usuarios),3.84
388,1,4.4,134,32 - 47 min,Gratis(nuevos usuarios),10.15
389,1,4.1,24,35 - 50 min,Gratis(nuevos usuarios),11.74
